avg difference,density
6.6,0.02
16.22,0.04
23.38,0.06
37.54,0.08
45.62,0.1
61.74,0.12
86.46,0.14
103.94,0.16
115.48,0.18
141.04,0.2
183.56,0.22
216.92,0.24
234.08,0.26
263.88,0.28
231.44,0.3
180.68,0.32
151.14,0.34
78.96,0.36
28.78,0.38
0.0,0.4
0.0,0.42
0.0,0.44
0.0,0.46
0.0,0.48
0.0,0.5
0.0,0.52
0.0,0.54
0.0,0.56
0.0,0.58
0.0,0.6
0.0,0.62
0.0,0.64
0.0,0.66
0.0,0.68
0.0,0.7
0.0,0.72
0.0,0.74
0.0,0.76
0.0,0.78
0.0,0.8
0.0,0.82
0.0,0.84
0.0,0.86
0.0,0.88
0.0,0.9
0.0,0.92
0.0,0.94
0.0,0.96
0.0,0.98
