bfs1 steps,bfs2 steps,q
True,True,0.0
False,False,0.09
True,True,0.1
True,True,0.11
True,True,0.15
False,False,0.16
False,False,0.18
False,False,0.19
False,False,0.2
True,True,0.22
True,True,0.23
False,False,0.28
False,False,0.3
False,False,0.33
False,False,0.35
False,False,0.36
False,False,0.41
False,False,0.42
False,False,0.44
False,False,0.45
False,False,0.46
False,False,0.47
False,False,0.48
False,False,0.5
False,False,0.51
False,False,0.52
False,False,0.53
False,False,0.54
False,True,0.55
False,False,0.56
False,False,0.57
True,True,0.58
False,False,0.59
False,False,0.6
False,False,0.62
False,False,0.65
False,False,0.66
False,False,0.67
False,False,0.7
False,False,0.72
False,False,0.75
False,False,0.78
False,False,0.8
False,False,0.81
False,False,0.83
True,False,0.84
False,False,0.85
False,False,0.89
False,False,0.91
True,True,0.92
False,False,0.93
False,False,0.94
False,False,0.97
False,False,0.98
True,True,0.0
True,True,0.01
False,False,0.05
True,True,0.06
True,True,0.08
False,False,0.09
True,True,0.12
False,False,0.16
False,False,0.18
False,False,0.19
False,False,0.2
False,False,0.24
False,False,0.26
True,True,0.27
False,False,0.29
False,False,0.3
True,True,0.33
False,False,0.34
False,False,0.35
False,False,0.38
False,False,0.42
False,False,0.45
False,False,0.46
True,True,0.5
False,False,0.52
False,False,0.53
False,False,0.54
False,False,0.57
False,False,0.6
True,True,0.62
False,False,0.65
False,False,0.66
False,False,0.68
True,True,0.69
False,False,0.71
True,True,0.73
False,False,0.78
False,False,0.8
False,False,0.81
True,True,0.83
False,False,0.87
False,False,0.93
False,False,0.96
False,False,0.97
True,True,0.01
False,False,0.03
True,False,0.08
False,False,0.1
False,False,0.12
False,False,0.14
False,False,0.16
True,True,0.18
False,False,0.2
False,False,0.21
False,False,0.22
False,False,0.24
False,False,0.3
True,False,0.31
False,False,0.33
False,False,0.34
False,False,0.36
False,False,0.38
False,False,0.45
False,False,0.46
False,False,0.47
False,False,0.48
False,False,0.52
False,False,0.55
False,False,0.58
False,False,0.66
False,False,0.68
False,False,0.69
False,False,0.71
True,True,0.72
False,False,0.74
False,False,0.75
False,False,0.76
False,False,0.78
False,False,0.8
False,False,0.82
True,True,0.84
False,False,0.87
False,False,0.89
False,False,0.9
False,False,0.91
False,False,0.93
False,False,0.96
True,True,0.0
True,True,0.01
False,False,0.04
False,False,0.06
True,False,0.1
False,False,0.11
False,False,0.12
False,False,0.13
True,True,0.14
False,False,0.17
False,False,0.21
False,False,0.22
False,False,0.29
False,False,0.33
False,False,0.35
False,False,0.36
False,False,0.37
False,False,0.38
False,False,0.4
False,False,0.43
False,False,0.46
False,False,0.51
False,False,0.54
False,False,0.56
False,False,0.57
False,False,0.58
False,False,0.59
False,False,0.64
False,False,0.66
True,True,0.68
False,False,0.7
False,False,0.71
False,False,0.76
True,True,0.77
False,False,0.79
False,False,0.8
True,True,0.83
False,False,0.84
False,True,0.9
False,False,0.93
False,False,0.94
False,False,0.95
False,False,0.96
False,False,0.97
False,True,0.02
True,True,0.04
False,False,0.06
True,False,0.07
False,False,0.09
True,True,0.12
False,False,0.18
False,False,0.19
False,False,0.21
True,True,0.24
False,False,0.25
False,True,0.26
False,False,0.27
False,False,0.29
False,False,0.32
False,False,0.36
True,True,0.37
False,False,0.4
False,False,0.41
False,False,0.42
False,False,0.44
False,False,0.45
False,False,0.48
False,False,0.49
True,True,0.51
False,False,0.53
False,False,0.54
False,False,0.55
True,True,0.57
False,False,0.58
False,False,0.6
False,False,0.62
False,False,0.63
False,False,0.65
False,False,0.66
False,False,0.69
True,True,0.74
False,False,0.76
False,False,0.78
False,False,0.81
False,False,0.82
False,False,0.83
False,False,0.85
False,False,0.87
False,False,0.9
False,False,0.94
False,False,0.97
True,True,0.0
True,True,0.01
False,False,0.02
True,True,0.03
False,False,0.04
True,True,0.06
True,False,0.07
False,False,0.12
False,False,0.13
False,False,0.14
True,True,0.19
False,False,0.21
False,False,0.23
False,True,0.3
False,False,0.33
False,False,0.35
False,False,0.36
False,False,0.37
False,False,0.38
False,False,0.39
False,False,0.4
False,False,0.41
False,False,0.43
False,False,0.44
False,False,0.46
False,False,0.47
False,False,0.54
False,False,0.55
False,False,0.57
False,False,0.59
False,False,0.67
True,True,0.68
False,False,0.7
False,False,0.71
False,False,0.72
True,True,0.73
False,False,0.77
False,False,0.78
False,False,0.79
False,False,0.8
False,False,0.82
False,False,0.84
False,False,0.86
True,True,0.92
False,False,0.95
True,True,0.97
False,False,0.98
True,True,0.0
True,True,0.01
True,True,0.02
False,False,0.04
False,False,0.05
False,False,0.08
False,False,0.1
False,True,0.13
False,False,0.15
True,True,0.16
False,False,0.21
True,True,0.23
False,False,0.25
False,False,0.26
False,False,0.27
False,False,0.33
