mine density,score advance,score simp,mine density,Score Advanced Agent,score Simp Calc
1,0.8,0.48,1,80,48
2,1.8,0.8,2,90,40
3,3,1.12,3,100,37.33333333
4,3.8,1.48,4,95,37
5,4.8,1.68,5,96,33.6
6,6,2.52,6,100,42
7,7,2.64,7,100,37.71428571
8,7.6,2.76,8,95,34.5
9,8.9,3.2,9,98.88888889,35.55555556
10,10,2.8,10,100,28
11,10.8,3.44,11,98.18181818,31.27272727
12,11.9,4.12,12,99.16666667,34.33333333
13,12.9,3.76,13,99.23076923,28.92307692
14,13.8,4.72,14,98.57142857,33.71428571
15,14.6,4.36,15,97.33333333,29.06666667
16,15.6,5.2,16,97.5,32.5
17,16.6,5,17,97.64705882,29.41176471
18,17.6,5,18,97.77777778,27.77777778
19,18.8,5.36,19,98.94736842,28.21052632
20,19.7,5.92,20,98.5,29.6
21,20.4,5.64,21,97.14285714,26.85714286
22,21.2,6.44,22,96.36363636,29.27272727
23,22.6,5.44,23,98.26086957,23.65217391
24,23.1,6.56,24,96.25,27.33333333
25,24.3,7.68,25,97.2,30.72
26,24.7,6.88,26,95,26.46153846
27,26.1,7.24,27,96.66666667,26.81481481
28,26.7,7.08,28,95.35714286,25.28571429
29,27.6,7.84,29,95.17241379,27.03448276
30,27.9,7.12,30,93,23.73333333
31,29.3,6.96,31,94.51612903,22.4516129
32,30.6,7.6,32,95.625,23.75
33,31.9,7.76,33,96.66666667,23.51515152
34,31.7,8.12,34,93.23529412,23.88235294
35,32.4,8.4,35,92.57142857,24
36,33.5,9.52,36,93.05555556,26.44444444
37,34,8.68,37,91.89189189,23.45945946
38,34.3,9.28,38,90.26315789,24.42105263
39,36.3,8.92,39,93.07692308,22.87179487
40,36.5,10.36,40,91.25,25.9
41,38.3,9.72,41,93.41463415,23.70731707
42,37.2,9.52,42,88.57142857,22.66666667
43,38,10.36,43,88.37209302,24.09302326
44,39.4,9.28,44,89.54545455,21.09090909
45,39.3,10.52,45,87.33333333,23.37777778
46,39.3,11.44,46,85.43478261,24.86956522
47,40.5,11.48,47,86.17021277,24.42553191
48,42.4,11.2,48,88.33333333,23.33333333
49,41.5,11,49,84.69387755,22.44897959
50,43.9,10.52,50,87.8,21.04
51,43.1,10.44,51,84.50980392,20.47058824
52,41.9,10.52,52,80.57692308,20.23076923
53,44.7,11.56,53,84.33962264,21.81132075
54,44.4,11,54,82.22222222,20.37037037
55,41.7,11.84,55,75.81818182,21.52727273
56,43.8,11.52,56,78.21428571,20.57142857
57,45.3,10.92,57,79.47368421,19.15789474
58,47,11.56,58,81.03448276,19.93103448
59,45.3,11.04,59,76.77966102,18.71186441
60,48.8,10.96,60,81.33333333,18.26666667
61,49.3,12.88,61,80.81967213,21.1147541
62,47.2,14,62,76.12903226,22.58064516
63,48.9,14.56,63,77.61904762,23.11111111
64,46.7,12.84,64,72.96875,20.0625
65,49.6,13.12,65,76.30769231,20.18461538
66,50.5,15.64,66,76.51515152,23.6969697
67,46.5,15.4,67,69.40298507,22.98507463
68,50.4,13.36,68,74.11764706,19.64705882
69,50.7,13.64,69,73.47826087,19.76811594
70,51.9,14.08,70,74.14285714,20.11428571
71,51.8,14.64,71,72.95774648,20.61971831
72,52.2,14.52,72,72.5,20.16666667
73,51.5,15.72,73,70.54794521,21.53424658
74,51.9,14.92,74,70.13513514,20.16216216
75,51.8,15.32,75,69.06666667,20.42666667
76,54.1,16.48,76,71.18421053,21.68421053
77,52,15.56,77,67.53246753,20.20779221
78,49.5,15.6,78,63.46153846,20
79,53.7,16.12,79,67.97468354,20.40506329
80,54.6,16.72,80,68.25,20.9
81,55.2,17.84,81,68.14814815,22.02469136
82,54.1,15.64,82,65.97560976,19.07317073
83,52.3,16.08,83,63.01204819,19.37349398
84,54,17.08,84,64.28571429,20.33333333
85,55.7,16.96,85,65.52941176,19.95294118
86,56.7,18.36,86,65.93023256,21.34883721
87,53.7,17.24,87,61.72413793,19.81609195
88,54.2,18,88,61.59090909,20.45454545
89,55.5,19,89,62.35955056,21.34831461
90,56.4,18.36,90,62.66666667,20.4
91,56.2,19.68,91,61.75824176,21.62637363
